row_id,actual,predicted_probability_logistic,predicted_class_logistic,predicted_probability_xgb,predicted_class_xgb,probability_difference,absolute_probability_difference,models_disagree_on_class
587,1,0.8819574371010273,1,0.6921309,1,-0.18982653710102726,0.18982653710102726,False
2610,1,0.8819574371010273,1,0.6921309,1,-0.18982653710102726,0.18982653710102726,False
2443,1,0.8094192778042747,1,0.62776345,1,-0.1816558278042747,0.1816558278042747,False
4533,1,0.7777167508826177,1,0.6105261,1,-0.16719065088261775,0.16719065088261775,False
602,1,0.846527733733776,1,0.7157218,1,-0.13080593373377603,0.13080593373377603,False
233,1,0.5530712395362687,1,0.6789834,1,0.12591216046373133,0.12591216046373133,False
3127,1,0.5530712395362687,1,0.6789834,1,0.12591216046373133,0.12591216046373133,False
3537,1,0.5530712395362687,1,0.6789834,1,0.12591216046373133,0.12591216046373133,False
1450,1,0.5530712395362687,1,0.6789834,1,0.12591216046373133,0.12591216046373133,False
2316,1,0.5530712395362687,1,0.6789834,1,0.12591216046373133,0.12591216046373133,False
5867,1,0.5530712395362687,1,0.6789834,1,0.12591216046373133,0.12591216046373133,False
2007,1,0.5530712395362687,1,0.6789834,1,0.12591216046373133,0.12591216046373133,False
3713,1,0.9181791470069716,1,0.79685426,1,-0.12132488700697153,0.12132488700697153,False
355,1,0.8700560437784681,1,0.75013965,1,-0.11991639377846808,0.11991639377846808,False
4729,0,0.4522051029077945,0,0.33274662,0,-0.11945848290779448,0.11945848290779448,False
368,0,0.4522051029077945,0,0.33274662,0,-0.11945848290779448,0.11945848290779448,False
1971,0,0.4522051029077945,0,0.33274662,0,-0.11945848290779448,0.11945848290779448,False
1905,1,0.4522051029077945,0,0.33274662,0,-0.11945848290779448,0.11945848290779448,False
4698,0,0.4522051029077945,0,0.33274662,0,-0.11945848290779448,0.11945848290779448,False
3418,0,0.4522051029077945,0,0.33274662,0,-0.11945848290779448,0.11945848290779448,False
2393,0,0.4522051029077945,0,0.33274662,0,-0.11945848290779448,0.11945848290779448,False
2178,1,0.4522051029077945,0,0.33274662,0,-0.11945848290779448,0.11945848290779448,False
3618,1,0.4522051029077945,0,0.33274662,0,-0.11945848290779448,0.11945848290779448,False
228,1,0.4522051029077945,0,0.33274662,0,-0.11945848290779448,0.11945848290779448,False
1785,0,0.4522051029077945,0,0.33274662,0,-0.11945848290779448,0.11945848290779448,False
5898,1,0.4522051029077945,0,0.33274662,0,-0.11945848290779448,0.11945848290779448,False
1337,0,0.4522051029077945,0,0.33274662,0,-0.11945848290779448,0.11945848290779448,False
645,0,0.4522051029077945,0,0.33274662,0,-0.11945848290779448,0.11945848290779448,False
3361,1,0.4522051029077945,0,0.33274662,0,-0.11945848290779448,0.11945848290779448,False
81,0,0.4522051029077945,0,0.33274662,0,-0.11945848290779448,0.11945848290779448,False
4485,0,0.5153326622751492,1,0.6331796,1,0.11784693772485078,0.11784693772485078,False
1554,1,0.5153326622751492,1,0.6331796,1,0.11784693772485078,0.11784693772485078,False
4511,1,0.5153326622751492,1,0.6331796,1,0.11784693772485078,0.11784693772485078,False
1607,1,0.5153326622751492,1,0.6331796,1,0.11784693772485078,0.11784693772485078,False
6150,1,0.5153326622751492,1,0.6331796,1,0.11784693772485078,0.11784693772485078,False
3775,1,0.5153326622751492,1,0.6331796,1,0.11784693772485078,0.11784693772485078,False
4097,1,0.5153326622751492,1,0.6331796,1,0.11784693772485078,0.11784693772485078,False
5017,1,0.5153326622751492,1,0.6331796,1,0.11784693772485078,0.11784693772485078,False
558,1,0.5153326622751492,1,0.6331796,1,0.11784693772485078,0.11784693772485078,False
2439,0,0.3886128044318243,0,0.27407077,0,-0.11454203443182426,0.11454203443182426,False
3188,0,0.3886128044318243,0,0.27407077,0,-0.11454203443182426,0.11454203443182426,False
817,1,0.3886128044318243,0,0.27407077,0,-0.11454203443182426,0.11454203443182426,False
1581,1,0.3886128044318243,0,0.27407077,0,-0.11454203443182426,0.11454203443182426,False
5126,0,0.3886128044318243,0,0.27407077,0,-0.11454203443182426,0.11454203443182426,False
5711,0,0.3886128044318243,0,0.27407077,0,-0.11454203443182426,0.11454203443182426,False
4549,0,0.3886128044318243,0,0.27407077,0,-0.11454203443182426,0.11454203443182426,False
5378,1,0.3886128044318243,0,0.27407077,0,-0.11454203443182426,0.11454203443182426,False
4623,0,0.3886128044318243,0,0.27407077,0,-0.11454203443182426,0.11454203443182426,False
4435,1,0.3886128044318243,0,0.27407077,0,-0.11454203443182426,0.11454203443182426,False
4478,0,0.3277737588034179,0,0.21620306,0,-0.11157069880341791,0.11157069880341791,False
5603,1,0.3277737588034179,0,0.21620306,0,-0.11157069880341791,0.11157069880341791,False
3556,1,0.3277737588034179,0,0.21620306,0,-0.11157069880341791,0.11157069880341791,False
5305,0,0.3277737588034179,0,0.21620306,0,-0.11157069880341791,0.11157069880341791,False
5866,0,0.3277737588034179,0,0.21620306,0,-0.11157069880341791,0.11157069880341791,False
1850,0,0.3277737588034179,0,0.21620306,0,-0.11157069880341791,0.11157069880341791,False
2726,0,0.3277737588034179,0,0.21620306,0,-0.11157069880341791,0.11157069880341791,False
899,0,0.3277737588034179,0,0.21620306,0,-0.11157069880341791,0.11157069880341791,False
894,0,0.3277737588034179,0,0.21620306,0,-0.11157069880341791,0.11157069880341791,False
1677,0,0.3277737588034179,0,0.21620306,0,-0.11157069880341791,0.11157069880341791,False
4943,1,0.3277737588034179,0,0.21620306,0,-0.11157069880341791,0.11157069880341791,False
5807,0,0.3277737588034179,0,0.21620306,0,-0.11157069880341791,0.11157069880341791,False
2346,0,0.3277737588034179,0,0.21620306,0,-0.11157069880341791,0.11157069880341791,False
45,0,0.3277737588034179,0,0.21620306,0,-0.11157069880341791,0.11157069880341791,False
1049,1,0.3277737588034179,0,0.21620306,0,-0.11157069880341791,0.11157069880341791,False
6024,0,0.3277737588034179,0,0.21620306,0,-0.11157069880341791,0.11157069880341791,False
2307,0,0.3277737588034179,0,0.21620306,0,-0.11157069880341791,0.11157069880341791,False
5105,1,0.6164410777994664,1,0.727349,1,0.11090792220053358,0.11090792220053358,False
4334,1,0.6164410777994664,1,0.727349,1,0.11090792220053358,0.11090792220053358,False
1190,1,0.6164410777994664,1,0.727349,1,0.11090792220053358,0.11090792220053358,False
1238,1,0.6164410777994664,1,0.727349,1,0.11090792220053358,0.11090792220053358,False
3612,1,0.6164410777994664,1,0.727349,1,0.11090792220053358,0.11090792220053358,False
4105,0,0.6164410777994664,1,0.727349,1,0.11090792220053358,0.11090792220053358,False
472,1,0.6164410777994664,1,0.727349,1,0.11090792220053358,0.11090792220053358,False
4100,1,0.6164410777994664,1,0.727349,1,0.11090792220053358,0.11090792220053358,False
1165,0,0.6164410777994664,1,0.727349,1,0.11090792220053358,0.11090792220053358,False
3076,1,0.6164410777994664,1,0.727349,1,0.11090792220053358,0.11090792220053358,False
4237,0,0.6164410777994664,1,0.727349,1,0.11090792220053358,0.11090792220053358,False
2934,1,0.6164410777994664,1,0.727349,1,0.11090792220053358,0.11090792220053358,False
302,1,0.6164410777994664,1,0.727349,1,0.11090792220053358,0.11090792220053358,False
3383,1,0.6164410777994664,1,0.727349,1,0.11090792220053358,0.11090792220053358,False
3323,1,0.6164410777994664,1,0.727349,1,0.11090792220053358,0.11090792220053358,False
1895,1,0.6164410777994664,1,0.727349,1,0.11090792220053358,0.11090792220053358,False
2509,1,0.6164410777994664,1,0.727349,1,0.11090792220053358,0.11090792220053358,False
1446,0,0.6164410777994664,1,0.727349,1,0.11090792220053358,0.11090792220053358,False
1547,1,0.6164410777994664,1,0.727349,1,0.11090792220053358,0.11090792220053358,False
2280,1,0.6164410777994664,1,0.727349,1,0.11090792220053358,0.11090792220053358,False
3828,0,0.7209008413095469,1,0.6105261,1,-0.11037474130954694,0.11037474130954694,False
1277,1,0.7209008413095469,1,0.6105261,1,-0.11037474130954694,0.11037474130954694,False
3069,0,0.7209008413095469,1,0.6105261,1,-0.11037474130954694,0.11037474130954694,False
5153,1,0.7209008413095469,1,0.6105261,1,-0.11037474130954694,0.11037474130954694,False
2060,1,0.7209008413095469,1,0.6105261,1,-0.11037474130954694,0.11037474130954694,False
5885,1,0.8543103580802365,1,0.7464607,1,-0.1078496580802365,0.1078496580802365,False
1830,0,0.8543103580802365,1,0.7464607,1,-0.1078496580802365,0.1078496580802365,False
6047,0,0.4674412067867433,0,0.5735298,1,0.1060885932132567,0.1060885932132567,True
1865,0,0.5799898600671817,1,0.6852471,1,0.10525723993281833,0.10525723993281833,False
2394,1,0.5799898600671817,1,0.6852471,1,0.10525723993281833,0.10525723993281833,False
846,0,0.5799898600671817,1,0.6852471,1,0.10525723993281833,0.10525723993281833,False
3466,1,0.5799898600671817,1,0.6852471,1,0.10525723993281833,0.10525723993281833,False
5059,1,0.5799898600671817,1,0.6852471,1,0.10525723993281833,0.10525723993281833,False
3893,1,0.5799898600671817,1,0.6852471,1,0.10525723993281833,0.10525723993281833,False
4538,1,0.5799898600671817,1,0.6852471,1,0.10525723993281833,0.10525723993281833,False
4402,1,0.5799898600671817,1,0.6852471,1,0.10525723993281833,0.10525723993281833,False
3718,1,0.5799898600671817,1,0.6852471,1,0.10525723993281833,0.10525723993281833,False
1498,0,0.5799898600671817,1,0.6852471,1,0.10525723993281833,0.10525723993281833,False
3090,1,0.5799898600671817,1,0.6852471,1,0.10525723993281833,0.10525723993281833,False
5251,0,0.5799898600671817,1,0.6852471,1,0.10525723993281833,0.10525723993281833,False
3201,1,0.5799898600671817,1,0.6852471,1,0.10525723993281833,0.10525723993281833,False
4866,1,0.5799898600671817,1,0.6852471,1,0.10525723993281833,0.10525723993281833,False
3548,1,0.5799898600671817,1,0.6852471,1,0.10525723993281833,0.10525723993281833,False
4111,1,0.5799898600671817,1,0.6852471,1,0.10525723993281833,0.10525723993281833,False
4312,0,0.2729605969300023,0,0.16814317,0,-0.10481742693000229,0.10481742693000229,False
3260,0,0.2729605969300023,0,0.16814317,0,-0.10481742693000229,0.10481742693000229,False
4222,0,0.2729605969300023,0,0.16814317,0,-0.10481742693000229,0.10481742693000229,False
1549,0,0.2729605969300023,0,0.16814317,0,-0.10481742693000229,0.10481742693000229,False
2043,0,0.2729605969300023,0,0.16814317,0,-0.10481742693000229,0.10481742693000229,False
2144,0,0.2729605969300023,0,0.16814317,0,-0.10481742693000229,0.10481742693000229,False
1860,1,0.2729605969300023,0,0.16814317,0,-0.10481742693000229,0.10481742693000229,False
